300 0.01 0.10 1.000    383.9    0.1989     3.649     264.6   0.06019    0.2738 
3000 0.01 0.10 1.000    150.9    0.4223     3.657     33.59    0.0447    0.1452 
30000 0.01 0.10 1.000    41.42     1.938     4.627     6.582     0.284    0.6593 
300 0.01 0.10 3.000    667.1    0.1069     2.824     483.2   0.03518    0.1418 
3000 0.01 0.10 3.000    413.4    0.3177     3.395     146.9    0.0488    0.1472 
30000 0.01 0.10 3.000    122.4     1.732     4.203     20.39    0.1819    0.3257 
300 0.01 0.10 10.000    37.26     1.022     4.216     10.08     0.121    0.2323 
3000 0.01 0.10 10.000    758.2    0.3611     3.179     213.3   0.04356   0.09821 
30000 0.01 0.10 10.000    504.5     1.385     3.605     94.52    0.1383    0.1795 
300 0.01 0.10 19.000    5.381     2.567     5.404     1.353    0.3104    0.4746 
3000 0.01 0.10 19.000    197.6     1.421     4.516     20.58   0.06471    0.1069 
30000 0.01 0.10 19.000    722.7     1.447     3.362     119.5    0.1211    0.1397 
300 0.01 0.10 -1.000    27.39      1.32     5.188     4.712    0.0869    0.1849 
3000 0.01 0.10 -1.000    172.4     1.544     4.591     15.69   0.06661    0.1108 
30000 0.01 0.10 -1.000      277      3.08     3.829     31.53     0.248    0.2227 
300 0.03 0.10 1.000      316    0.3459     4.591     213.4   0.09476    0.4387 
3000 0.03 0.10 1.000      316    0.4495     3.928     91.09   0.05989     0.213 
30000 0.03 0.10 1.000    113.6     2.027     4.987     18.67     0.266    0.6055 
300 0.03 0.10 3.000      213    0.4424     4.085     87.06   0.07527    0.2404 
3000 0.03 0.10 3.000    712.7    0.4112     3.416     154.2   0.04082    0.1034 
30000 0.03 0.10 3.000    365.9      1.73     4.129     59.62    0.1629      0.27 
300 0.03 0.10 10.000    17.36     1.514      4.85     6.832    0.2681    0.4787 
3000 0.03 0.10 10.000      111      1.81     4.317     25.99    0.2376    0.3704 
30000 0.03 0.10 10.000    601.2     2.037     3.722     65.85    0.1222    0.1361 
300 0.03 0.10 19.000    7.945     1.805     4.249     2.112    0.2339    0.3156 
3000 0.03 0.10 19.000    90.88     1.663     3.784     18.32    0.1732    0.2147 
30000 0.03 0.10 19.000    329.8     2.091     3.019     42.73    0.2048    0.1686 
300 0.03 0.10 -1.000    104.1    0.8822     6.356     21.74    0.0641    0.2547 
3000 0.03 0.10 -1.000    277.3     1.359     5.268     53.59    0.1094    0.2403 
30000 0.03 0.10 -1.000    375.8     3.122     4.551      46.9     0.268    0.3018 
300 0.10 0.10 1.000    229.4    0.8917     11.23     50.63   0.08197    0.8745 
3000 0.10 0.10 1.000    572.3    0.8462     5.604     126.6   0.08784    0.3502 
30000 0.10 0.10 1.000    350.7     2.705     6.615     61.22    0.3397    0.8634 
300 0.10 0.10 3.000    57.73     1.533     9.062     19.67    0.1989    0.9197 
3000 0.10 0.10 3.000    184.6     2.521     8.718     42.58    0.3731     1.299 
30000 0.10 0.10 3.000    813.7      2.05     4.332     138.3     0.227     0.327 
300 0.10 0.10 10.000     12.8     1.583     4.671     4.536    0.2565    0.4428 
3000 0.10 0.10 10.000    143.6     1.205     3.517     46.44    0.2125    0.2893 
30000 0.10 0.10 10.000    433.7     1.609     2.748     63.52      0.17    0.1449 
300 0.10 0.10 19.000    6.595      1.62     3.781     1.672    0.2184    0.2638 
3000 0.10 0.10 19.000     77.9     1.697     3.681     14.25    0.1708     0.191 
30000 0.10 0.10 19.000    288.5     2.435     3.255     31.39    0.1922    0.1544 
300 0.10 0.10 -1.000    204.7      1.01     13.04     66.51    0.1191       1.4 
