300 0.01 0.10 1.000    661.8    0.1496     3.284     55.69  0.009909    0.1048 
3000 0.01 0.10 1.000    254.6    0.3362     3.262     29.77   0.03217    0.1643 
30000 0.01 0.10 1.000    101.5     1.159     3.526     24.96      0.26    0.5075 
300 0.01 0.10 3.000    710.8    0.1472     2.968     70.61   0.01018   0.07447 
3000 0.01 0.10 3.000    430.8    0.3553     3.159     44.92   0.02692    0.1036 
30000 0.01 0.10 3.000      353    0.8543     3.098     117.7    0.2092    0.3498 
300 0.01 0.10 10.000    62.34    0.6273     3.155     5.514   0.04093   0.09057 
3000 0.01 0.10 10.000    803.4    0.4038     2.942     96.33   0.03313   0.08294 
30000 0.01 0.10 10.000    810.7    0.9826     3.002     131.1     0.109    0.1285 
300 0.01 0.10 19.000    14.76     1.095     3.131     1.695   0.09389     0.121 
3000 0.01 0.10 19.000    309.3    0.9638     3.309     23.38   0.05409   0.08837 
30000 0.01 0.10 19.000     1104     1.079     2.898     147.6   0.09681   0.08859 
300 0.01 0.10 -1.000    47.42    0.6982      3.24     4.163    0.0446   0.09436 
3000 0.01 0.10 -1.000    317.2    0.9684     3.328     74.37    0.1687    0.2842 
30000 0.01 0.10 -1.000    431.4     2.521     3.301     25.66    0.1166   0.07582 
300 0.03 0.10 1.000     1195    0.1262     3.116     379.8   0.02976    0.3244 
3000 0.03 0.10 1.000    675.1      0.28     3.056     249.1   0.08287    0.4465 
30000 0.03 0.10 1.000    342.6    0.8834     3.122     109.3    0.2515    0.5028 
300 0.03 0.10 3.000    439.1    0.2514      3.13     59.67   0.02589     0.148 
3000 0.03 0.10 3.000     1027    0.3804     3.155     137.1   0.03694     0.135 
30000 0.03 0.10 3.000      676     1.128     3.293     78.15    0.1012    0.1501 
300 0.03 0.10 10.000    81.96    0.4604     2.863     15.85   0.06504    0.1594 
3000 0.03 0.10 10.000    243.2     1.029     3.218     29.07     0.108    0.1818 
30000 0.03 0.10 10.000    921.1     1.582     3.196     147.8    0.1945    0.1824 
300 0.03 0.10 19.000    17.28    0.9906     3.033     1.502   0.06216   0.07758 
3000 0.03 0.10 19.000    120.9     1.434     3.269     3.713   0.03518   0.03889 
30000 0.03 0.10 19.000    552.2     1.844     2.875     82.48    0.2107    0.1311 
300 0.03 0.10 -1.000    369.8    0.2633     3.056     120.7   0.06285    0.3327 
3000 0.03 0.10 -1.000    424.6     0.814     3.301     25.28   0.03648   0.06869 
30000 0.03 0.10 -1.000    614.3     2.245      3.51     30.89   0.09232   0.07981 
300 0.10 0.10 1.000    784.5    0.2129     3.516     157.4   0.03671    0.3641 
3000 0.10 0.10 1.000     1599     0.332     3.213     504.9   0.08659    0.4503 
30000 0.10 0.10 1.000    785.8      1.27     3.707     161.9    0.2504    0.5041 
300 0.10 0.10 3.000    390.6    0.1924     2.608     119.3   0.04568    0.2318 
3000 0.10 0.10 3.000    477.6    0.8119     3.478     68.73    0.1128    0.3108 
30000 0.10 0.10 3.000     1384     1.392     3.402     171.7    0.1524    0.2193 
300 0.10 0.10 10.000    78.21    0.4144     2.739     63.85    0.2398    0.5646 
3000 0.10 0.10 10.000    235.1    0.9388     3.047     19.61   0.06125   0.08767 
30000 0.10 0.10 10.000    514.7     1.791     2.796      41.9    0.1306   0.09127 
300 0.10 0.10 19.000    18.12    0.8352     2.874     2.391     0.082    0.1134 
3000 0.10 0.10 19.000    142.9      1.21     3.071     19.02    0.1197    0.1293 
30000 0.10 0.10 19.000    504.5     1.967     2.984     72.18    0.2152     0.135 
300 0.10 0.10 -1.000    522.2    0.2774     3.868     68.37   0.03257    0.3035 
3000 0.10 0.10 -1.000    889.6    0.6763     4.012     53.95   0.04003    0.1697 
30000 0.10 0.10 -1.000     1175     1.688     3.669     123.2    0.1675    0.2406 
300 0.30 0.10 1.000    203.3    0.4702     4.474     26.65   0.06245    0.4755 
3000 0.30 0.10 1.000    945.2    0.6735     4.083     158.8    0.1263    0.6144 
30000 0.30 0.10 1.000     2891    0.9309     3.206      1428    0.4299    0.8967 
300 0.30 0.10 3.000    361.3    0.1535     2.355     150.8   0.05213    0.2651 
3000 0.30 0.10 3.000    656.5    0.3687     2.253     190.4    0.1007    0.2337 
30000 0.30 0.10 3.000    968.9     1.198     2.489     230.3    0.2938     0.298 
300 0.30 0.10 10.000    80.93    0.3427     2.591     20.34   0.06243    0.1567 
3000 0.30 0.10 10.000    175.7    0.9644     2.906     16.77   0.07273   0.09141 
30000 0.30 0.10 10.000    545.8     1.615     2.722     70.99    0.1716    0.1088 
300 0.30 0.10 19.000    27.83    0.5469     2.631     6.592   0.09251    0.1477 
3000 0.30 0.10 19.000    111.6     1.206     2.929     22.85    0.1847    0.1778 
30000 0.30 0.10 19.000    473.1     1.829      2.84     76.38    0.2185    0.1226 
300 0.30 0.10 -1.000     1031    0.2325     4.801     104.5   0.02671    0.4843 
3000 0.30 0.10 -1.000     1376    0.6555     4.947     126.7   0.07308    0.5091 
30000 0.30 0.10 -1.000     1874     1.544     4.189     257.2    0.2319    0.5097 
300 1.00 0.10 1.000    299.3    0.2562     2.899     35.57   0.02056   0.08186 
3000 1.00 0.10 1.000    860.5    0.5562     3.208     189.4    0.1337    0.5149 
30000 1.00 0.10 1.000     1579     1.454     3.564     253.4    0.2685    0.4912 
300 1.00 0.10 3.000    403.6    0.1661     2.551     164.6   0.04653    0.2127 
3000 1.00 0.10 3.000      704     0.389     2.422       162   0.07886    0.1866 
30000 1.00 0.10 3.000     1120    0.8674     2.148     463.8    0.3626    0.3534 
300 1.00 0.10 10.000    78.31     0.353     2.615     22.68    0.0729    0.1779 
3000 1.00 0.10 10.000    205.7    0.8716      2.86     65.48    0.2151    0.2853 
30000 1.00 0.10 10.000    819.1     1.235     2.611     113.3    0.1341   0.09837 
300 1.00 0.10 19.000    19.02    0.6961     2.732     2.553   0.06913   0.09859 
3000 1.00 0.10 19.000    82.86     1.438     3.051     9.081    0.1233    0.1113 
30000 1.00 0.10 19.000    536.9     1.697     2.833     69.92    0.1622   0.09667 
300 1.00 0.10 -1.000     2498    0.1222     3.671     482.9   0.02689    0.6108 
3000 1.00 0.10 -1.000     2522    0.3761     3.529       540    0.1025    0.7634 
30000 1.00 0.10 -1.000     2320     1.279     3.693     363.1    0.2685    0.6515 
300 0.01 1.00 1.000     4012   0.06372     2.795     194.6  0.002205   0.03242 
3000 0.01 1.00 1.000     7411    0.1101     3.025      1018   0.01033    0.1069 
30000 0.01 1.00 1.000     5913    0.2852     3.037      2324   0.07729    0.3339 
300 0.01 1.00 3.000    445.6    0.1715     2.719     108.4   0.03004    0.1733 
3000 0.01 1.00 3.000     5978    0.1986      3.03     776.5   0.01794    0.1059 
30000 0.01 1.00 3.000 1.365e+04    0.2904     2.866      3113   0.04298      0.14 
300 0.01 1.00 10.000    67.08     0.351     2.623     31.07    0.1119    0.2657 
3000 0.01 1.00 10.000      422    0.7524     3.144        17   0.02234   0.03987 
30000 0.01 1.00 10.000     4210    0.7411     3.029     336.8   0.04227   0.06711 
300 0.01 1.00 19.000     13.4    0.7016     2.689     2.437   0.08946    0.1149 
